"postalcode","city","country"
"63502","Pemalang","Indonesia"
"73644","Gandhinagar","India"
"78625","Grand Prairie","United States"
"96065","Shubra al-Khayma","Egypt"
"76157","Dos Quebradas","Colombia"
"58186","Etawah","India"
"64615","Lima","Peru"
"6804","Varanasi (Benares)","India"
"45142","Ktahya","Turkey"
"60304","Boksburg","South Africa"
"66255","Po","Brazil"
"8439","Smolensk","Russian Federation"
"4999","Jastrzebie-Zdrj","Poland"
"15819","Liaocheng","China"
"82639","guas Lindas de Gois","Brazil"
"14014","Mukateve","Ukraine"
"49757","Botshabelo","South Africa"
"83401","Torren","Mexico"
"4285","Qalyub","Egypt"
"5892","Pune","India"
"81691","Hubli-Dharwad","India"
"11044","Apeldoorn","Netherlands"
"85769","Hohhot","China"
"57519","Touliu","Taiwan"
"13377","Clarksville","United States"
"93762","Fukuyama","Japan"
"60562","Dundee","United Kingdom"
"97700","Kilis","Turkey"
"30861","Molodetno","Belarus"
"3439","Soshanguve","South Africa"
"90732","Sterling Heights","United States"
"99457","Urawa","Japan"
"92150","Saint-Denis","Runion"
"25545","Brockton","United States"
"95444","Hidalgo","Mexico"
"77777","Laiwu","China"
"64863","Nagaon","India"
"36061","Jakarta","Indonesia"
"76990","Yuncheng","China"
"41778","Bern","Switzerland"
"21294","Ondo","Nigeria"
"53502","Pyongyang","North Korea"
"66639","Greensboro","United States"
"81037","Linz","Austria"
"81511","Ljubertsy","Russian Federation"
"44660","Tel Aviv-Jaffa","Israel"
"22853","Le Mans","France"
"57844","Kakamigahara","Japan"
"3313","Tarsus","Turkey"
"62250","Hami","China"
"76901","Lilongwe","Malawi"
"62686","Chandrapur","India"
"59571","Jinchang","China"
"70618","Pingxiang","China"
"63337","Udaipur","India"
"58194","Ipoh","Malaysia"
"47753","Batman","Turkey"
"6802","Graz","Austria"
"25220","Ocumare del Tuy","Venezuela"
"4854","Allappuzha (Alleppey)","India"
"89668","Skikda","Algeria"
"54132","Matamoros","Mexico"
"47288","Santa Brbara dOeste","Brazil"
"35109","Kirovo-Tepetsk","Russian Federation"
"29747","Pereira","Colombia"
"67497","Memphis","United States"
"8862","Compton","United States"
"55709","Luzinia","Brazil"
"43310","s-Hertogenbosch","Netherlands"
"65121","Shahr-e Kord","Iran"
"74750","Haldia","India"
"38982","Sumy","Ukraine"
"58852","Bayugan","Philippines"
"5379","Oshawa","Canada"
"49348","Tabora","Tanzania"
"65387","Novoterkassk","Russian Federation"
"90845","Firozabad","India"
"10428","Kisumu","Kenya"
"32114","Hino","Japan"
"15540","Siegen","Germany"
"36490","Mannheim","Germany"
"89459","Changzhou","China"
"1545","Ikerre","Nigeria"
"95824","Haiphong","Vietnam"
"8073","Ashgabat","Turkmenistan"
"4662","Witten","Germany"
"3924","Bhusawal","India"
"61613","Gorontalo","Indonesia"
"25238","Usak","Turkey"
"86599","Ciudad del Este","Paraguay"
"10925","Blumenau","Brazil"
"10800","Nuuk","Greenland"
"89959","Balurghat","India"
"4855","Bhilwara","India"
"99405","Aden","Yemen"
"82161","Fuyu","China"
"25053","Bellevue","United States"
"67924","Taizz","Yemen"
"2299","Sunnyvale","United States"
"99124","Stara Zagora","Bulgaria"
"21464","Aparecida de Goinia","Brazil"
"22474","Sambhal","India"
"40301","Kabul","Afghanistan"
"20657","Vicente Lpez","Argentina"
"94420","Zanzibar","Tanzania"
"22824","Syrakusa","Italy"
"73431","Jaroslavl","Russian Federation"
"88307","Mandi Bahauddin","Pakistan"
"82338","Jodhpur","India"
"66851","Ambattur","India"
"64344","Asuncin","Paraguay"
"47446","Saarbrcken","Germany"
"87911","Phnom Penh","Cambodia"
"93323","Anpolis","Brazil"
"50598","Botosani","Romania"
"42420","Uttarpara-Kotrung","India"
"31390","Zaria","Nigeria"
"98775","Idfu","Egypt"
"90628","Jalib al-Shuyukh","Kuwait"
"76448","Buenaventura","Colombia"
"18727","Tanza","Philippines"
"36971","Naju","South Korea"
"14408","Shimoga","India"
"22236","Ciomas","Indonesia"
"1921","Iwaki","Japan"
"87660","Xiangfan","China"
"28349","Qinhuangdao","China"
"37288","San Miguel de Tucumn","Argentina"
"27722","Lapu-Lapu","Philippines"
"81314","Uijongbu","South Korea"
"6461","Maring","Brazil"
"75933","Coacalco de Berriozbal","Mexico"
"57338","Tallahassee","United States"
"38140","Tianjin","China"
"98332","Oyo","Nigeria"
"36481","Halle/Saale","Germany"
"3433","London","United Kingdom"
"32474","Miyakonojo","Japan"
"45403","Poos de Caldas","Brazil"
"20777","Hagonoy","Philippines"
"68146","Monywa","Myanmar"
"86768","Beira","Mozambique"
"69517","Santiago de los Caballeros","Dominican Republic"
"50390","Halisahar","India"
"98484","Datong","China"
"30065","Tuguegarao","Philippines"
"93629","Portoviejo","Ecuador"
"51990","Mandaluyong","Philippines"
"19428","Higashiosaka","Japan"
"20536","Olomouc","Czech Republic"
"5410","Salzburg","Austria"
"53928","Lengshuijiang","China"
"49298","Palghat (Palakkad)","India"
"75090","Salinas","United States"
"83565","Kalisz","Poland"
"11763","Kumbakonam","India"
"46063","Yantai","China"
"2012","Salamanca","Mexico"
"85548","Karnal","India"
"89502","Peoria","United States"
"24645","Warren","United States"
"55802","Ogbomosho","Nigeria"
"56254","Inegl","Turkey"
"96204","Tabriz","Iran"
"36229","Owo","Nigeria"
"30657","Fuzhou","China"
"8160","Ponce","Puerto Rico"
"58492","Korla","China"
"75860","Benin City","Nigeria"
"46044","Otsu","Japan"
"22650","Effon-Alaiye","Nigeria"
"64221","Tambaram","India"
"33768","Valle de Santiago","Mexico"
"58124","Kowloon and New Kowloon","Hong Kong"
"53145","Valle de la Pascua","Venezuela"
"61195","Roanoke","United States"
"19065","Sharja","United Arab Emirates"
"61391","Donostia-San Sebastin","Spain"
"38834","Dayton","United States"
"8856","Kolpino","Russian Federation"
"98573","Patiala","India"
"4085","Ahmadnagar","India"
"40070","Oulu","Finland"
"52137","Hiroshima","Japan"
"56883","Parbhani","India"
"68469","Kaliningrad","Russian Federation"
"58979","Tiefa","China"
"57587","Sanaa","Yemen"
"79047","Callao","Peru"
"42141","Arlington","United States"
"84804","Sungai Petani","Malaysia"
"80184","Angra dos Reis","Brazil"
"9668","Kansas City","United States"
"70923","Brescia","Italy"
"59686","Ibirit","Brazil"
"94878","Kursk","Russian Federation"
"17032","Tabuk","Saudi Arabia"
"91400","Ezhou","China"
"59255","Sorocaba","Brazil"
"62472","Bat Yam","Israel"
"59811","Miraj","India"
"29763","Trshavn","Faroe Islands"
"25787","Bydgoszcz","Poland"
"73170","San Felipe del Progreso","Mexico"
"28396","Tafuna","American Samoa"
"97960","Birgunj","Nepal"
"85799","Baha Blanca","Argentina"
"54949","Cuautla","Mexico"
"78543","Yuzhou","China"
"87611","Braslia","Brazil"
"49833","Kingstown","Saint Vincent and the Grenadines"
"33463","Adana","Turkey"
"59550","Ciparay","Indonesia"
"64308","Jamalpur","Bangladesh"
"91590","Aurora","United States"
"28814","Santa F","Argentina"
"1195","Dhaka","Bangladesh"
"57828","Baku","Azerbaijan"
"49812","Sumqayit","Azerbaijan"
"22971","Sousse","Tunisia"
"15643","Rampur","India"
"52368","Onomichi","Japan"
"31483","Paarl","South Africa"
"19913","Xinxiang","China"
"85926","Hanoi","Vietnam"
"504","Ede","Netherlands"
"71583","Boa Vista","Brazil"
"36170","Mexicali","Mexico"
"46069","Nukualofa","Tonga"
"60079","San Lorenzo","Paraguay"
"56380","Maikop","Russian Federation"
"26857","Daugavpils","Latvia"
"87272","Hsichuh","Taiwan"
"18841","Imus","Philippines"
"58866","Teboksary","Russian Federation"
"40792","Zeleznogorsk","Russian Federation"
"37636","Bamenda","Cameroon"
"49009","Pachuca de Soto","Mexico"
"37650","Santo Andr","Brazil"
"81508","Matsue","Japan"
"7431","Satna","India"
"97056","Bratislava","Slovakia"
"5373","Ranchi","India"
"91299","Almirante Brown","Argentina"
"64875","Arecibo","Puerto Rico"
"60440","Yaound","Cameroon"
"6066","Belm","Brazil"
"96584","Nyeri","Kenya"
"77449","Guadalajara","Mexico"
"45750","Okinawa","Japan"
"33050","Balikesir","Turkey"
"2738","Adoni","India"
"13203","Najafabad","Iran"
"91330","Jurez","Mexico"
"69640","Gulbarga","India"
"57810","Cabuyao","Philippines"
"72771","Probolinggo","Indonesia"
"6362","Tanauan","Philippines"
"2800","Vitria de Santo Anto","Brazil"
"22025","Mwene-Ditu","Congo, The Democratic Republic of the"
"26385","Kurgan","Russian Federation"
"45298","Kermanshah","Iran"
"97390","Shenzhen","China"
"89294","Bhavnagar","India"
"75442","Tychy","Poland"
"32716","South Hill","Anguilla"
"25007","Manchester","United States"
"17165","Namibe","Angola"
"95509","Huaian","China"
"14073","Tama","Japan"
"33535","Kamjanets-Podilskyi","Ukraine"
"69973","Lubumbashi","Congo, The Democratic Republic of the"
"21615","Cavite","Philippines"
"3656","Emeishan","China"
"29810","Nakhon Sawan","Thailand"
"83536","Izumisano","Japan"
"27796","Addis Abeba","Ethiopia"
"8816","Korolev","Russian Federation"
"966","Gijn","Spain"
"5239","al-Qadarif","Sudan"
"73824","Iwatsuki","Japan"
"46043","Atinsk","Russian Federation"
"10417","Bag","Brazil"
"30586","Okara","Pakistan"
"11067","Dallas","United States"
"13496","Koriyama","Japan"
"61507","Brest","France"
"79940","Valparai","India"
"7664","Omiya","Japan"
"86868","Tandil","Argentina"
"54749","Charlotte Amalie","Virgin Islands, U.S."
"9827","Rustenburg","South Africa"
"35575","Jaffna","Sri Lanka"
"7122","Deba Habe","Nigeria"
"65630","Richmond Hill","Canada"
"70809","Cianjur","Indonesia"
"40509","Hoshiarpur","India"
"58888","Berhampore (Baharampur)","India"
"55566","Allende","Mexico"
"33711","Amersfoort","Netherlands"
"94018","Dadu","Pakistan"
"72410","al-Qatif","Saudi Arabia"
"59489","San Felipe de Puerto Plata","Dominican Republic"
"60622","Katihar","India"
"89420","El Monte","United States"
"14400","Pudukkottai","India"
"46875","Laohekou","China"
"78813","Sawhaj","Egypt"
"47394","Shanwei","China"
"81758","San Juan Bautista Tuxtepec","Mexico"
"70425","Purnea (Purnia)","India"
"64964","Guaruj","Brazil"
"33191","Syktyvkar","Russian Federation"
"87212","Tsuyama","Japan"
"33505","Dzerzinsk","Russian Federation"
"72736","Sucre","Bolivia"
"63104","Newcastle","South Africa"
"65892","Naala-Porto","Mozambique"
"41775","Ozamis","Philippines"
"90920","Junan","China"
"47472","Vancouver","Canada"
"40926","La Romana","Dominican Republic"
"55405","Kitwe","Zambia"
"57833","Bergamo","Italy"
"3","Dhule (Dhulia)","India"
"52625","Batna","Algeria"
"48570","Tongliao","China"
"29444","So Leopoldo","Brazil"
"88306","Tartu","Estonia"
"73942","Escobar","Argentina"
"2834","Uluberia","India"
"52671","Nabereznyje Telny","Russian Federation"
"99552","Erlangen","Germany"
"21872","Sirjan","Iran"
"23636","Surakarta","Indonesia"
"48745","El Fuerte","Mexico"
"41136","Abu Dhabi","United Arab Emirates"
"16790","Maracabo","Venezuela"
"16119","Uruapan","Mexico"
"28587","El Alto","Bolivia"
"75559","Ziguinchor","Senegal"
"83183","Rockford","United States"
"64709","Tegal","Indonesia"
"23343","Qomsheh","Iran"
"70664","Florencia","Colombia"
"10447","Gingoog","Philippines"
"22173","Usolje-Sibirskoje","Russian Federation"
"84461","Halifax","Canada"
"7939","Rancagua","Chile"
"88502","Zapopan","Mexico"
"95400","Dongying","China"
"41545","Cuauhtmoc","Mexico"
"33599","Bijapur","India"
"95835","Ourense (Orense)","Spain"
"14122","Hodeida","Yemen"
"9668","Johannesburg","South Africa"
"66546","Nam Dinh","Vietnam"
"69221","Lhokseumawe","Indonesia"
"42123","Emmen","Netherlands"
"11363","ostka","Ukraine"
"20336","Gatineau","Canada"
"41060","Stockport","United Kingdom"
"73085","Ashqelon","Israel"
"88749","Akron","United States"
"28165","Gaziantep","Turkey"
"25145","Mwanza","Tanzania"
"71182","Coatzacoalcos","Mexico"
"2596","Denizli","Turkey"
"11839","Yinchuan","China"
"88513","Shaoguan","China"
"8268","Acua","Mexico"
"23661","Pjatigorsk","Russian Federation"
"94239","La Paz","Mexico"
"46400","Okayama","Japan"
"19489","Sogamoso","Colombia"
"22358","Mit Ghamr","Egypt"
"96203","Kanchrapara","India"
"26101","Sultanbeyli","Turkey"
"63667","Robamba","Ecuador"
"98030","Baiyin","China"
"72349","Rizhao","China"
"57197","York","United Kingdom"
"50592","Salala","Oman"
"86208","Brindisi","Italy"
"69504","Madiun","Indonesia"
"16370","Lublin","Poland"
"87687","Siliguri (Shiliguri)","India"
"90797","Ueda","Japan"
"37469","Joliet","United States"
"1570","Talavera","Philippines"
"44816","Pontianak","Indonesia"
"54674","Eskisehir","Turkey"
"75474","Vijayawada","India"
"51369","Chapra","India"
"19450","Kamyin","Russian Federation"
"39529","Suihua","China"
"35653","London","United Kingdom"
"65952","Yangor","Nauru"
"35156","Zaoyang","China"
"92568","Coquimbo","Chile"
"32347","Battambang","Cambodia"
"400","Chungho","Taiwan"
"49806","Sivas","Turkey"
"61244","Isesaki","Japan"
"94707","Nha Trang","Vietnam"
"41214","Yingkou","China"
"81651","Santa Rosa","Philippines"
"18043","Vinh","Vietnam"
"25972","Purwakarta","Indonesia"
"95775","Udine","Italy"
"31342","Cape Coral","United States"
"35364","Mogiljov","Belarus"
"35202","Benguela","Angola"
"40899","Bhimavaram","India"
"86760","Ezeiza","Argentina"
"88408","Kuwana","Japan"
"79401","Cam Ranh","Vietnam"
"22813","Binzhou","China"
"67521","Amroha","India"
"49250","NDjamna","Chad"
"9750","Tonghae","South Korea"
"79814","Aurora","United States"
"69953","Baicheng","China"
"33030","Valencia","Venezuela"
"13629","Ruse","Bulgaria"
"74568","Livorno","Italy"
"51309","Pangkal Pinang","Indonesia"
"25866","Beni-Mellal","Morocco"
"55676","So Bernardo do Campo","Brazil"
"15414","Konotop","Ukraine"
"5753","Sanya","China"
"19151","Kanazawa","Japan"
"841","Tarlac","Philippines"
"77642","Santiago de Compostela","Spain"
"39976","Zhoushan","China"
"26284","Alvorada","Brazil"
"52234","Haining","China"
"11892","Novi Sad","Yugoslavia"
"12905","Rajkot","India"
"63022","Chatsworth","South Africa"
"57380","Southport","United Kingdom"
"47498","Vilnius","Lithuania"
"97271","Wroclaw","Poland"
"22372","Bilbays","Egypt"
"40195","Avellaneda","Argentina"
"77464","Garland","United States"
"93655","Sokoto","Nigeria"
"10714","Bucuresti","Romania"
"44274","Xintai","China"
"32515","Hunuco","Peru"
"52196","Tokat","Turkey"
"33224","Serpuhov","Russian Federation"
"15992","Barcelona","Venezuela"
"77397","Leshan","China"
"37815","Monclova","Mexico"
"943","Plock","Poland"
"86587","Czestochowa","Poland"
"95093","Zhezqazghan","Kazakstan"
"33384","Akishima","Japan"
"89422","Cuernavaca","Mexico"
"34750","Fengshan","Taiwan"
"98883","Tanshui","Taiwan"
"53829","Carmen","Mexico"
"73605","Mosul","Iraq"
"96115","Iligan","Philippines"
"64682","Jos Azueta","Mexico"
"62703","Huejutla de Reyes","Mexico"
"22954","Southampton","United Kingdom"
"53446","Banjul","Gambia"
"12664","Quilmes","Argentina"
"95179","Tsaotun","Taiwan"
"71102","Celaya","Mexico"
"17381","Weifang","China"
"22474","Loja","Ecuador"
"39414","al-Manama","Bahrain"
"1944","Juiz de Fora","Brazil"
"14684","Szkesfehrvr","Hungary"
"36693","Garden Grove","United States"
"82580","Jining","China"
"36603","Jinzhou","China"
"97661","Patras","Greece"
"52137","Sullana","Peru"
"61960","Lausanne","Switzerland"
"27107","Tieli","China"
